,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.003424920160144179,-0.005466243536910375,0.005178264371541036,-0.03835767379625829,0.09566500965077171,0.07458930478255736,-0.0034249201311892874,-0.005434796420950481,0.0051782643367951665,0.04795027873030296,0.04420943874928472,0.07725165377454503,0.0013767241718251927,-0.006163687738131887,0.005151580529856307,0.020953083045322014,0.046769868321625,0.04977776841020619,0.0051889306184892325,-0.0032985535908902726,0.0050604763166767295,-4.163605552004481e-05,0.0294145376641724,0.018738232199809808,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.006849706289120661,-0.010932268681039248,0.010356325416269203,-0.07671379676971109,0.19132626827174692,0.1491756434890914,-0.006849705825880605,-0.010869376401705676,0.010356324860381136,0.09589867101370761,0.08841713818327754,0.15450025018152372,0.0027533925019914353,-0.012327131283972384,0.010302958284500296,0.04190533870919883,0.09353789813068586,0.09955357351980522,0.010377654374841153,-0.00659697800441909,0.010120753435218736,-8.327056156517174e-05,0.0588279173678051,0.03747573071664749,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.010274226638895254,-0.016397853650125204,0.015533982190710468,-0.11506676552884992,0.2869800771892652,0.22375602577443396,-0.010274224293811706,-0.016303521226002312,0.015533979376610212,0.1438433067246212,0.13262137397259716,0.23174272962394732,0.004129946979412722,-0.01849008586870194,0.015453932080173156,0.06285594194826633,0.1403022691831547,0.14932546118272505,0.015565961898310976,-0.009895146118447063,0.015180633706748013,-0.0001249021219878093,0.08823898999695567,0.056211773763182114,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.013698351956334098,-0.02186277297303927,0.0207110363580704,-0.1534149194040843,0.3826227949663393,0.2983274349310631,-0.013698344544989619,-0.021737009703020078,0.020711027464457025,0.19178233360584404,0.1768204381945216,0.30897603018347725,0.005506327229000443,-0.02465230610350637,0.020604302476091085,0.08380407029866575,0.1870611812255001,0.19909148730784798,0.020753641089620856,-0.013192933056987781,0.020239921179211945,-0.000166529507928744,0.1176466161276656,0.07494565255233551,0.0,0.0,0.0,0.0,0.0,0.0
5,-0.017121955487026715,-0.027326797500583363,0.025887292194731563,-0.1917565405425129,0.47825083751712716,0.3728868280219326,-0.017121937394070995,-0.027169618177190893,0.025887270483184698,0.23971391733369074,0.22101263939316024,0.3861970877416009,0.006882470514920854,-0.03081354598957169,0.025753871781585398,0.1047489039085482,0.23381285405620283,0.24884971793066551,0.025940477130598456,-0.01649021619401221,0.025298421604405253,-0.00020815165774614816,0.1470496660668661,0.09367667131871041,0.0,0.0,0.0,0.0,0.0,0.0
6,-0.020544912978601573,-0.03278969441700443,0.03106255659621822,-0.23008985401375803,0.5738606782097574,0.44743113601844337,-0.020544875464384407,-0.032601120538496196,0.031062511579157615,0.28763624157955786,0.26519630263636224,0.46340283610122307,0.008258311744317404,-0.03697355892820668,0.030902444062895305,0.12568962557002022,0.28055552758330854,0.29859822928290797,0.031126252494349402,-0.01978687515679868,0.030355942444653783,-0.00024976767691275244,0.17644701989135195,0.11240414733738585,0.0,0.0,0.0,0.0,0.0,0.0
7,-0.023967102683532658,-0.038251227252211396,0.036236639082626046,-0.2684130279266632,0.6694488479574717,0.5219572639434594,-0.023967033191594194,-0.03803128823324878,0.03623655569229989,0.3355475080679362,0.30936976956936224,0.540590207108647,0.009633783471497287,-0.0431320977310922,0.036049825149612205,0.14662542075049448,0.32728746187802976,0.3483351078601389,0.03631074695595745,-0.023082791828827654,0.03541229287915904,-0.00029137683788236314,0.2058375674848172,0.13112741094007524,0.0,0.0,0.0,0.0,0.0,0.0
8,-0.027388405361432507,-0.043711155894688804,0.041409351803510804,-0.3067241735567492,0.7650119352979761,0.5964620910193315,-0.02738828682700483,-0.0434598902753578,0.041409209562197596,0.3834459366308543,0.3535313984651483,0.6177561307759203,0.011008815902581378,-0.0492889146306583,0.04119582264077396,0.16755547762342374,0.3740069372243899,0.39805845048729926,0.041493737603709516,-0.0263778503522179,0.04046728381000188,-0.000332978579926234,0.2352202085729426,0.14984580552862595,0.0,0.0,0.0,0.0,0.0,0.0
9,-0.030808704280827156,-0.049169236605099184,0.04658050954223008,-0.34502134548430025,0.8605465864608887,0.6709424708208653,-0.03080851444050455,-0.048886693258074494,0.046580281733842946,0.43132976525874,0.3976795642715413,0.6948975354035108,0.012383336900616358,-0.05544376129058842,0.046340245910607016,0.1884789870983928,0.42071225416490104,0.4477663643821768,0.04667499885084126,-0.02967193712970063,0.045520727867803375,-0.00037457250893989196,0.2645938527565243,0.1685586875858413,0.0,0.0,0.0,0.0,0.0,0.0
